stimulusTable1,stimulusTable2,stimulusTable3,stimulusTable4,stimulusTable5,stimulusTable6,stimulusTable7
horizontal_right,horizontal,blue_first,0.37,,,38544.5527205919
fixation,horizontal,_,0.13,,,38544.9360414153
horizontal_left,horizontal,blue_second,0.37,,,38545.0860479469
fixation,horizontal,_,0.13,,,38545.4693796305
horizontal_right,horizontal,red_first,0.37,,,38545.6194361191
fixation,horizontal,_,0.13,,,38546.0027156737
horizontal_left,horizontal,red_second,0.37,,,38546.1526700764
fixation,horizontal,_,0.13,,,38546.5361320825
horizontal_right,horizontal,blue_first,0.37,,,38546.6860222547
fixation,horizontal,_,0.13,,,38547.0693834161
horizontal_left,horizontal,blue_second,0.37,,,38547.2193672964
fixation,horizontal,_,0.13,,,38547.6026769493
horizontal_right,horizontal,red_first,0.37,,,38547.7527554687
fixation,horizontal,_,0.13,,,38548.1360207498
horizontal_left,horizontal,red_second,0.37,,,38548.2861002
fixation,horizontal,_,0.13,,,38548.6693118007
horizontal_right,horizontal,blue_first,0.37,,,38548.8194495858
fixation,horizontal,_,0.13,,,38549.2027586181
horizontal_left,horizontal,blue_second,0.37,,,38549.3526860254
fixation,horizontal,_,0.13,,,38549.736017709
horizontal_right,horizontal,red_first,0.37,,,38549.8861073988
fixation,horizontal,_,0.13,,,38550.2693360656
horizontal_left,horizontal,red_second,0.37,,,38550.4194099305
fixation,horizontal,_,0.13,,,38550.8026947601
horizontal_right,horizontal,blue_first,0.37,,,38550.9528424745
fixation,horizontal,_,0.13,,,38551.3360124961
vertical_top,vertical,blue_second,0.37,exogenous_reversal,10,38551.4860134425
fixation,vertical,_,0.13,,,38551.869325888
vertical_bottom,vertical,red_first,0.37,,,38552.0194996669
fixation,vertical,_,0.13,,,38552.4027497438
vertical_top,vertical,red_second,0.37,,,38552.5528205058
fixation,vertical,_,0.13,,,38553.9528595405
vertical_bottom,vertical,blue_first,0.37,,,38554.1027245791
fixation,vertical,_,0.13,,,38554.4859749663
vertical_top,vertical,blue_second,0.37,,,38554.6359355747
fixation,vertical,_,0.13,,,38555.0193330402
vertical_bottom,vertical,red_first,0.37,,,38555.1693045089
fixation,vertical,_,0.13,,,38555.5526060942
vertical_top,vertical,red_second,0.37,,,38555.702810592
fixation,vertical,_,0.13,,,38556.0859753386
vertical_bottom,vertical,blue_first,0.37,,,38556.2360513756
fixation,vertical,_,0.13,,,38556.6192725954
vertical_top,vertical,blue_second,0.37,,,38556.7693874188
fixation,vertical,_,0.13,,,38557.1526238429
vertical_bottom,vertical,red_first,0.37,,,38557.3026443377
fixation,vertical,_,0.13,,,38557.6860439752
vertical_top,vertical,red_second,0.37,,,38557.836046473
fixation,vertical,_,0.13,,,38558.2192779324
vertical_bottom,vertical,blue_first,0.37,,,38558.3693766207
fixation,vertical,_,0.13,,,38558.7527871184
vertical_top,vertical,blue_second,0.37,,,38558.902726627
fixation,vertical,_,0.13,,,38559.2859779451
vertical_bottom,vertical,red_first,0.37,,,38559.4359329683
fixation,vertical,_,0.13,,,38559.8192842003
vertical_top,vertical,red_second,0.37,,,38559.9692776997
fixation,vertical,_,0.13,,,38560.3526397919
vertical_bottom,vertical,blue_first,0.37,,,38560.5027034172
fixation,vertical,_,0.13,,,38560.8859600102
vertical_top,vertical,blue_second,0.37,,,38561.0360428736
fixation,vertical,_,0.13,,,38561.4192824006
vertical_bottom,vertical,red_first,0.37,,,38561.5693829506
fixation,vertical,_,0.13,,,38561.9526364407
vertical_top,vertical,red_second,0.37,,,38562.1026125638
fixation,vertical,_,0.13,,,38562.4859290431
horizontal_right,horizontal,blue_first,0.37,exogenous_reversal,9.5,38562.6360190432
fixation,horizontal,_,0.13,,,38563.0192719127
horizontal_left,horizontal,blue_second,0.37,,,38563.1693445365
fixation,horizontal,_,0.13,,,38563.5526259529
horizontal_right,horizontal,red_first,0.37,,,38563.7027553601
fixation,horizontal,_,0.13,,,38565.1027000661
horizontal_left,horizontal,red_second,0.37,,,38565.2525889971
fixation,horizontal,_,0.13,,,38565.6358806531
horizontal_right,horizontal,blue_first,0.37,,,38565.7859659988
fixation,horizontal,_,0.13,,,38566.1692458637
horizontal_left,horizontal,blue_second,0.37,,,38566.3192074031
fixation,horizontal,_,0.13,,,38566.7027476028
horizontal_right,horizontal,red_first,0.37,,,38566.8525710622
fixation,horizontal,_,0.13,,,38567.2359381191
horizontal_left,horizontal,red_second,0.37,,,38567.3859102084
fixation,horizontal,_,0.13,,,38567.7693262914
horizontal_right,horizontal,blue_first,0.37,,,38567.9193371671
fixation,horizontal,_,0.13,,,38568.3025276679
horizontal_left,horizontal,blue_second,0.37,,,38568.4525853977
fixation,horizontal,_,0.13,,,38568.8358888448
horizontal_right,horizontal,red_first,0.37,,,38568.9859192689
fixation,horizontal,_,0.13,,,38569.3692934625
horizontal_left,horizontal,red_second,0.37,,,38569.5192581047
fixation,horizontal,_,0.13,,,38569.9025534842
horizontal_right,horizontal,blue_first,0.37,,,38570.0525085074
fixation,horizontal,_,0.13,,,38570.4360611188
horizontal_left,horizontal,blue_second,0.37,,,38570.5860443785
