responseTable_stimOnset1,responseTable_stimOnset2,responseTable_stimOnset3,responseTable_stimOnset4,responseTable_stimOnset5,responseTable_stimOnset6,responseTable_stimOnset7,responseTable_stimOnset8
Stimulus_Type,Percept_Duration,Accuracy,KeyName,RT,Release_Duration,Reversal_Onset_Index,Total_Press_Time
horizontal_left_red_second,9.75,Correct,SOL,1.19913870380697,0.373766678807442,27,11.1653977181268
vertical_bottom_red_first,11.25,Correct,SOL_long,0.732344591106084,1.31032623164356,57,23.2317558127288
horizontal_right_red_first,9,Short_Timing,SOL,0.790934400480182,0.435779176008509,81,33.5235397944925
vertical_bottom_red_second,12.75,Long_Timing,SOL,,,115,63.7641676704843
horizontal_right_red_second,9,Correct,SOL_long,0.605236735387734,1.34628469263771,139,73.7038813109721
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
