responseTable_estimatedOnset1,responseTable_estimatedOnset2,responseTable_estimatedOnset3,responseTable_estimatedOnset4,responseTable_estimatedOnset5,responseTable_estimatedOnset6,responseTable_estimatedOnset7,responseTable_estimatedOnset8,responseTable_estimatedOnset9,responseTable_estimatedOnset10,responseTable_estimatedOnset11
Stimulus_Type,Stimulus_Duration,Accuracy,KeyName,Estimated_RT,Release_Duration,Estimated_Onset_Index,Total_Press_Time,Reversal_To,Estimated_Onset_TimeCorrected,Reversal_From
,,Reversal,SOL,,,,2.18594412913444,horizontal,,horizontal
,,Reversal,SOL,,,,6.26103831103501,horizontal,,horizontal
,,Reversal,SAG,,,,11.8096785574326,vertical,,vertical
,,Reversal,SAG,,,,11.9016762997362,vertical,,vertical
,,Reversal,SOL,,,,26.0149676379169,horizontal,,horizontal
,,Reversal,SOL,,,,50.7344891153625,horizontal,,horizontal
,,Reversal,SAG,,,,52.3029683007044,vertical,,vertical
,,Reversal,SOL,,,,60.2130836586002,horizontal,,horizontal
,,Reversal,SAG,,,,64.0628257890075,vertical,,vertical
,,Reversal,SAG,,,,64.1679371642822,vertical,,vertical
,,Reversal,SOL,,,,73.5673810558874,horizontal,,horizontal
,,Reversal,SAG,,,,76.4515139695795,vertical,,vertical
,,Reversal,SAG,,,,76.5677841274228,vertical,,vertical
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
