stimulusTable1,stimulusTable2,stimulusTable3,stimulusTable4,stimulusTable5,stimulusTable6,stimulusTable7
vertical_bottom,vertical,red_first,0.37,,,3955.34953015894
fixation,vertical,_,0.13,,,3955.73277704549
vertical_top,vertical,red_second,0.37,,,3955.88276128276
fixation,vertical,_,0.13,,,3956.26616393487
vertical_bottom,vertical,blue_first,0.37,,,3956.41615965287
fixation,vertical,_,0.13,,,3956.79935006665
vertical_top,vertical,blue_second,0.37,,,3956.94941001467
fixation,vertical,_,0.13,,,3957.33285269419
vertical_bottom,vertical,red_first,0.37,,,3957.48274942969
fixation,vertical,_,0.13,,,3957.86607512989
vertical_top,vertical,red_second,0.37,,,3958.01606371122
fixation,vertical,_,0.13,,,3958.39947225884
vertical_bottom,vertical,blue_first,0.37,,,3958.54940033362
fixation,vertical,_,0.13,,,3958.9327918153
vertical_top,vertical,blue_second,0.37,,,3959.08277388054
fixation,vertical,_,0.13,,,3959.46604931376
vertical_bottom,vertical,red_first,0.37,,,3959.61610708975
fixation,vertical,_,0.13,,,3959.99937724805
vertical_top,vertical,red_second,0.37,,,3960.14937296605
fixation,vertical,_,0.13,,,3960.53286684341
vertical_bottom,vertical,blue_first,0.37,,,3960.68284549546
fixation,vertical,_,0.13,,,3961.06614171811
vertical_top,vertical,blue_second,0.37,,,3961.21609958074
fixation,vertical,_,0.13,,,3961.59935019077
vertical_bottom,vertical,red_first,0.37,,,3961.74935273514
fixation,vertical,_,0.13,,,3962.13268774404
vertical_top,vertical,red_second,0.37,,,3962.28282185136
fixation,vertical,_,0.13,,,3962.66606842762
vertical_bottom,vertical,blue_first,0.37,,,3962.81606848968
fixation,vertical,_,0.13,,,3963.19927752086
horizontal_left,horizontal,blue_second,0.37,,7.5,3963.34933560714
fixation,horizontal,_,0.13,,,3963.7326625485
horizontal_right,horizontal,red_first,0.37,,,3963.88266478259
fixation,horizontal,_,0.13,,,3964.26602275294
horizontal_left,horizontal,red_second,0.37,,,3964.41600574905
fixation,horizontal,_,0.13,,,3964.79930135113
horizontal_right,horizontal,blue_first,0.37,,,3964.94936254031
fixation,horizontal,_,0.13,,,3965.3326451102
horizontal_left,horizontal,blue_second,0.37,,,3965.48264641342
fixation,horizontal,_,0.13,,,3965.86612136309
horizontal_right,horizontal,red_first,0.37,,,3966.01597838148
fixation,horizontal,_,0.13,,,3966.39938258504
horizontal_left,horizontal,red_second,0.37,,,3966.54937364869
fixation,horizontal,_,0.13,,,3966.93261153683
horizontal_right,horizontal,blue_first,0.37,,,3967.08262090759
fixation,horizontal,_,0.13,,,3967.46601642303
horizontal_left,horizontal,blue_second,0.37,,,3967.61602020856
fixation,horizontal,_,0.13,,,3967.99937073196
horizontal_right,horizontal,red_first,0.37,,,3968.14935465894
fixation,horizontal,_,0.13,,,3968.53259533969
horizontal_left,horizontal,red_second,0.37,,,3968.68255040971
fixation,horizontal,_,0.13,,,3969.065987504
horizontal_right,horizontal,blue_first,0.37,,,3969.21594598721
fixation,horizontal,_,0.13,,,3969.59936043033
horizontal_left,horizontal,blue_second,0.37,,,3969.74930681223
fixation,horizontal,_,0.13,,,3970.13258255575
horizontal_right,horizontal,red_first,0.37,,,3970.28256493128
fixation,horizontal,_,0.13,,,3970.66592228105
horizontal_left,horizontal,red_second,0.37,,,3970.81597229979
fixation,horizontal,_,0.13,,,3971.19929862058
horizontal_right,horizontal,blue_first,0.37,,,3971.34932505728
fixation,horizontal,_,0.13,,,3971.73254743092
vertical_top,vertical,blue_second,0.37,,8,3971.88263716678
fixation,vertical,_,0.13,,,3972.26591104856
vertical_bottom,vertical,red_first,0.37,,,3972.41592103989
fixation,vertical,_,0.13,,,3972.79936992521
vertical_top,vertical,red_second,0.37,,,3972.94929831029
fixation,vertical,_,0.13,,,3973.33256102162
vertical_bottom,vertical,blue_first,0.37,,,3973.48263307095
fixation,vertical,_,0.13,,,3973.86603727451
