stimulusTable1,stimulusTable2,stimulusTable3,stimulusTable4,stimulusTable5,stimulusTable6,stimulusTable7
ambiguous_left_top,ambiguous,white_first,0.37,,,23824.6194636
fixation,ambiguous,_,0.13,,,23824.9914921
ambiguous_left_bottom,ambiguous,white_second,0.37,,,23825.1234555
fixation,ambiguous,_,0.13,,,23825.4953232
ambiguous_left_top,ambiguous,white_first,0.37,,,23825.6272548
fixation,ambiguous,_,0.13,,,23825.9992577
ambiguous_left_bottom,ambiguous,white_second,0.37,,,23826.1311893
fixation,ambiguous,_,0.13,,,23826.5029787
ambiguous_left_top,ambiguous,white_first,0.37,,,23826.6348422
fixation,ambiguous,_,0.13,,,23827.0068615
ambiguous_left_bottom,ambiguous,white_second,0.37,,,23827.1388005
fixation,ambiguous,_,0.13,,,23827.5107596
ambiguous_left_top,ambiguous,white_first,0.37,,,23827.6426922
fixation,ambiguous,_,0.13,,,23828.0146616
ambiguous_left_bottom,ambiguous,white_second,0.37,,,23828.1466271
fixation,ambiguous,_,0.13,,,23828.5186617
ambiguous_left_top,ambiguous,white_first,0.37,,8,23828.6506306
fixation,ambiguous,_,0.13,,,23829.0231614
ambiguous_left_bottom,ambiguous,white_second,0.37,,,23829.1551749
fixation,ambiguous,_,0.13,,,23829.5271359
ambiguous_left_top,ambiguous,white_first,0.37,,,23829.6591375
fixation,ambiguous,_,0.13,,,23830.0310029
ambiguous_left_bottom,ambiguous,white_second,0.37,,,23830.1628228
fixation,ambiguous,_,0.13,,,23830.53472
ambiguous_left_top,ambiguous,white_first,0.37,,,23830.6666636
fixation,ambiguous,_,0.13,,,23831.0386424
ambiguous_left_bottom,ambiguous,white_second,0.37,,,23831.1705333
fixation,ambiguous,_,0.13,,,23831.5424554
ambiguous_left_top,ambiguous,white_first,0.37,,,23831.6743345
fixation,ambiguous,_,0.13,,,23832.0463239
ambiguous_left_bottom,ambiguous,white_second,0.37,,,23832.1783127
fixation,ambiguous,_,0.13,,,23832.5503906
ambiguous_left_top,ambiguous,white_first,0.37,,,23832.6822935
fixation,ambiguous,_,0.13,,,23833.0542903
ambiguous_left_bottom,ambiguous,white_second,0.37,,,23833.186161
fixation,ambiguous,_,0.13,,,23833.5580731
ambiguous_left_top,ambiguous,white_first,0.37,,,23833.6899902
fixation,ambiguous,_,0.13,,,23834.061921
ambiguous_left_bottom,ambiguous,white_second,0.37,,,23834.1938551
fixation,ambiguous,_,0.13,,,23834.5657803
ambiguous_left_top,ambiguous,white_first,0.37,,,23834.69775
fixation,ambiguous,_,0.13,,,23835.0696136
ambiguous_left_bottom,ambiguous,white_second,0.37,,,23835.2014969
fixation,ambiguous,_,0.13,,,23835.5734603
ambiguous_left_top,ambiguous,white_first,0.37,,,23835.7054132
fixation,ambiguous,_,0.13,,,23836.0774148
ambiguous_left_bottom,ambiguous,white_second,0.37,,7.5,23836.209316
fixation,ambiguous,_,0.13,,,23836.5813155
