stimulusTable1,stimulusTable2,stimulusTable3,stimulusTable4,stimulusTable5,stimulusTable6,stimulusTable7
vertical_bottom,vertical,red_first,0.37,,,20323.7248310754
fixation,vertical,_,0.13,,,20324.108174965
vertical_top,vertical,red_second,0.37,,,20324.2410439827
fixation,vertical,_,0.13,,,20324.6248482199
vertical_bottom,vertical,blue_first,0.37,,,20324.7576735878
fixation,vertical,_,0.13,,,20325.1414838208
vertical_top,vertical,blue_second,0.37,,,20325.2743756405
fixation,vertical,_,0.13,,,20325.6581566059
vertical_bottom,vertical,red_first,0.37,,,20325.7910446856
fixation,vertical,_,0.13,,,20326.1748281081
vertical_top,vertical,red_second,0.37,,,20326.3076897207
fixation,vertical,_,0.13,,,20326.6914843642
vertical_bottom,vertical,blue_first,0.37,,,20326.8243401736
fixation,vertical,_,0.13,,,20327.2081479748
vertical_top,vertical,blue_second,0.37,,,20327.3410030547
fixation,vertical,_,0.13,,,20327.7248139589
vertical_bottom,vertical,red_first,0.37,,,20327.8576601493
fixation,vertical,_,0.13,,,20328.2414633215
vertical_top,vertical,red_second,0.37,,,20328.3743190638
fixation,vertical,_,0.13,,,20328.7581203489
vertical_bottom,vertical,blue_first,0.37,,,20328.8909903899
fixation,vertical,_,0.13,,,20329.2747759173
vertical_top,vertical,blue_second,0.37,,,20329.4076365825
fixation,vertical,_,0.13,,,20329.7914250202
vertical_bottom,vertical,red_first,0.37,,,20329.9242974258
fixation,vertical,_,0.13,,,20330.3081075498
vertical_top,vertical,red_second,0.37,,,20330.4409856583
fixation,vertical,_,0.13,,,20330.8247532142
vertical_bottom,vertical,blue_first,0.37,,,20330.9576360354
fixation,vertical,_,0.13,,,20331.3414221922
horizontal_left,horizontal,blue_second,0.37,,7.5,20331.4742879727
fixation,horizontal,_,0.13,,,20331.8580788004
horizontal_right,horizontal,red_first,0.37,,,20331.9909487908
fixation,horizontal,_,0.13,,,20332.374740239
horizontal_left,horizontal,red_second,0.37,,,20333.5406846096
fixation,horizontal,_,0.13,,,20333.9247178044
horizontal_right,horizontal,blue_first,0.37,,,20334.0575883735
fixation,horizontal,_,0.13,,,20334.441394489
horizontal_left,horizontal,blue_second,0.37,,,20334.5742679179
fixation,horizontal,_,0.13,,,20334.9580458476
horizontal_right,horizontal,red_first,0.37,,,20335.0909153935
fixation,horizontal,_,0.13,,,20335.474712494
horizontal_left,horizontal,red_second,0.37,,,20335.6075707187
fixation,horizontal,_,0.13,,,20335.9913751738
horizontal_right,horizontal,blue_first,0.37,,,20336.1242237629
fixation,horizontal,_,0.13,,,20336.5080195971
horizontal_left,horizontal,blue_second,0.37,,,20336.6408955501
fixation,horizontal,_,0.13,,,20337.0246686494
horizontal_right,horizontal,red_first,0.37,,,20337.1575362498
fixation,horizontal,_,0.13,,,20337.541350785
horizontal_left,horizontal,red_second,0.37,,,20337.6742009256
fixation,horizontal,_,0.13,,,20338.0579976906
horizontal_right,horizontal,blue_first,0.37,,,20338.1908793378
fixation,horizontal,_,0.13,,,20338.5746684632
horizontal_left,horizontal,blue_second,0.37,,,20338.7075250275
fixation,horizontal,_,0.13,,,20339.0913248701
horizontal_right,horizontal,red_first,0.37,,,20339.2241759833
fixation,horizontal,_,0.13,,,20339.6079780233
horizontal_left,horizontal,red_second,0.37,,,20339.7408473347
fixation,horizontal,_,0.13,,,20340.1246464225
horizontal_right,horizontal,blue_first,0.37,,,20340.257514199
fixation,horizontal,_,0.13,,,20340.6413182097
horizontal_left,horizontal,blue_second,0.37,,,20340.774183571
fixation,horizontal,_,0.13,,,20341.1579760843
horizontal_right,horizontal,red_first,0.37,,,20341.2908299649
fixation,horizontal,_,0.13,,,20341.6746479133
horizontal_left,horizontal,red_second,0.37,,,20341.8074916049
fixation,horizontal,_,0.13,,,20342.1913055448
horizontal_right,horizontal,blue_first,0.37,,,20342.324171015
fixation,horizontal,_,0.13,,,20342.7079572136
vertical_top,vertical,blue_second,0.37,,10,20342.8407997311
fixation,vertical,_,0.13,,,20343.2246354916
vertical_bottom,vertical,red_first,0.37,,,20343.357488735
fixation,vertical,_,0.13,,,20343.7412721576
vertical_top,vertical,red_second,0.37,,,20344.9079388307
fixation,vertical,_,0.13,,,20345.2912508298
vertical_bottom,vertical,blue_first,0.37,,,20345.4241017252
fixation,vertical,_,0.13,,,20345.807908436
vertical_top,vertical,blue_second,0.37,,,20345.9407804224
fixation,vertical,_,0.13,,,20346.3245794518
vertical_bottom,vertical,red_first,0.37,,,20346.4574742567
fixation,vertical,_,0.13,,,20346.8412682378
vertical_top,vertical,red_second,0.37,,,20346.974099937
fixation,vertical,_,0.13,,,20347.3578902112
vertical_bottom,vertical,blue_first,0.37,,,20347.4907665416
fixation,vertical,_,0.13,,,20347.8745605393
vertical_top,vertical,blue_second,0.37,,,20348.0074114259
fixation,vertical,_,0.13,,,20348.3912074614
vertical_bottom,vertical,red_first,0.37,,,20348.5240754811
fixation,vertical,_,0.13,,,20348.9078732441
vertical_top,vertical,red_second,0.37,,,20349.0406942932
fixation,vertical,_,0.13,,,20349.42453688
vertical_bottom,vertical,blue_first,0.37,,,20349.5574117261
fixation,vertical,_,0.13,,,20349.9411876851
vertical_top,vertical,blue_second,0.37,,,20350.0740727455
fixation,vertical,_,0.13,,,20350.4578545329
vertical_bottom,vertical,red_first,0.37,,,20350.5907351821
fixation,vertical,_,0.13,,,20350.9745163908
vertical_top,vertical,red_second,0.37,,,20351.1073750181
fixation,vertical,_,0.13,,,20351.4911822659
vertical_bottom,vertical,blue_first,0.37,,,20351.6240433921
fixation,vertical,_,0.13,,,20352.0078238965
vertical_top,vertical,blue_second,0.37,,,20352.1407015518
fixation,vertical,_,0.13,,,20352.5245082042
vertical_bottom,vertical,red_first,0.37,,,20352.6573720559
fixation,vertical,_,0.13,,,20353.0411595375
vertical_top,vertical,red_second,0.37,,,20353.17402614
fixation,vertical,_,0.13,,,20353.5578289765
vertical_bottom,vertical,blue_first,0.37,,,20353.690635157
fixation,vertical,_,0.13,,,20354.0744916145
