stimulusTable1,stimulusTable2,stimulusTable3,stimulusTable4,stimulusTable5,stimulusTable6,stimulusTable7
fixation,ambiguous,_,0.13,,,23185.7672997523
ambiguous_left_top,ambiguous,blue_second,0.37,,,23185.9172345592
fixation,ambiguous,_,0.13,,,23186.3005609523
ambiguous_left_bottom,ambiguous,red_first,0.37,,10,23186.4506701453
fixation,ambiguous,_,0.13,,,23186.8339301351
ambiguous_left_top,ambiguous,red_second,0.37,,,23186.983955238
fixation,ambiguous,_,0.13,,,23187.3673061444
ambiguous_left_bottom,ambiguous,blue_first,0.37,,,23187.5172387792
fixation,ambiguous,_,0.13,,,23187.9005890651
ambiguous_left_top,ambiguous,blue_second,0.37,,,23188.050652024
fixation,ambiguous,_,0.13,,,23204.4841196946
ambiguous_left_top,ambiguous,red_first,0.37,,,23204.6339725835
fixation,ambiguous,_,0.13,,,23205.0173759299
ambiguous_left_bottom,ambiguous,red_second,0.37,,,23205.1673799327
fixation,ambiguous,_,0.13,,,23205.5508155498
ambiguous_left_top,ambiguous,blue_first,0.37,,,23205.7007488052
fixation,ambiguous,_,0.13,,,23206.0840271025
ambiguous_left_bottom,ambiguous,blue_second,0.37,,,23206.2340987497
fixation,ambiguous,_,0.13,,,23206.6173723925
ambiguous_left_top,ambiguous,red_first,0.37,,,23206.7673732924
fixation,ambiguous,_,0.13,,,23207.1508377669
ambiguous_left_bottom,ambiguous,red_second,0.37,,,23207.3007266501
fixation,ambiguous,_,0.13,,,23207.6840338048
ambiguous_left_top,ambiguous,blue_first,0.37,,,23207.8341184845
fixation,ambiguous,_,0.13,,,23208.2174498423
ambiguous_left_bottom,ambiguous,blue_second,0.37,,,23208.3673753403
fixation,ambiguous,_,0.13,,,23208.7508618459
ambiguous_left_top,ambiguous,red_first,0.37,,,23208.9007460746
fixation,ambiguous,_,0.13,,,23209.2840557117
ambiguous_left_bottom,ambiguous,red_second,0.37,,,23209.434061266
fixation,ambiguous,_,0.13,,,23209.8174546829
ambiguous_left_top,ambiguous,blue_first,0.37,,,23209.967365597
fixation,ambiguous,_,0.13,,,23210.3508548953
ambiguous_left_bottom,ambiguous,blue_second,0.37,,,23210.5008573466
fixation,ambiguous,_,0.13,,,23210.8840766877
ambiguous_left_top,ambiguous,red_first,0.37,,,23211.0340605213
fixation,ambiguous,_,0.13,,,23211.4174638676
ambiguous_left_bottom,ambiguous,red_second,0.37,,,23211.5673853318
fixation,ambiguous,_,0.13,,,23211.9509003846
ambiguous_left_top,ambiguous,blue_first,0.37,,9,23212.1008370533
fixation,ambiguous,_,0.13,,,23212.4841516551
ambiguous_left_bottom,ambiguous,blue_second,0.37,,,23212.6341029077
fixation,ambiguous,_,0.13,,,23213.017393927
ambiguous_left_top,ambiguous,red_first,0.37,,,23213.1673942063
fixation,ambiguous,_,0.13,,,23213.550750698
ambiguous_left_bottom,ambiguous,red_second,0.37,,,23213.7008049687
fixation,ambiguous,_,0.13,,,23214.0841627016
ambiguous_left_top,ambiguous,blue_first,0.37,,,23214.234136916
fixation,ambiguous,_,0.13,,,23214.61740125
ambiguous_left_bottom,ambiguous,blue_second,0.37,,,23214.7674055631
fixation,ambiguous,_,0.13,,,23215.1507626754
ambiguous_left_top,ambiguous,red_first,0.37,,,23215.3008110505
