stimulusTable1,stimulusTable2,stimulusTable3,stimulusTable4,stimulusTable5,stimulusTable6,stimulusTable7
vertical_bottom,vertical,red_first,0.37,,,22979.9876792563
fixation,vertical,_,0.13,,,22980.3709938293
vertical_top,vertical,red_second,0.37,,,22980.5038614944
fixation,vertical,_,0.13,,,22980.887547692
vertical_bottom,vertical,blue_first,0.37,,,22981.0205223856
fixation,vertical,_,0.13,,,22981.4042133905
vertical_top,vertical,blue_second,0.37,,,22981.5371936779
fixation,vertical,_,0.13,,,22981.9209844981
vertical_bottom,vertical,red_first,0.37,,,22982.0538448651
fixation,vertical,_,0.13,,,22982.4376391878
vertical_top,vertical,red_second,0.37,,,22982.570466018
fixation,vertical,_,0.13,,,22982.9543039555
vertical_bottom,vertical,blue_first,0.37,,,22983.0871432057
fixation,vertical,_,0.13,,,22983.4709571659
vertical_top,vertical,blue_second,0.37,,,22983.6038005307
fixation,vertical,_,0.13,,,22983.9876302392
vertical_bottom,vertical,red_first,0.37,,,22984.1204479945
fixation,vertical,_,0.13,,,22984.5042612491
vertical_top,vertical,red_second,0.37,,,22984.6371120693
fixation,vertical,_,0.13,,,22985.020817747
vertical_bottom,vertical,blue_first,0.37,,,22985.1538182797
fixation,vertical,_,0.13,,,22985.5375783771
vertical_top,vertical,blue_second,0.37,,,22985.6704336901
fixation,vertical,_,0.13,,,22986.0542739569
vertical_bottom,vertical,red_first,0.37,,,22986.1871085486
fixation,vertical,_,0.13,,,22986.570904274
vertical_top,vertical,red_second,0.37,,,22986.7037727042
fixation,vertical,_,0.13,,,22987.0875754855
vertical_bottom,vertical,blue_first,0.37,,,22987.2204101579
fixation,vertical,_,0.13,,,22987.6042293123
vertical_top,vertical,blue_second,0.37,,,22987.7370698802
fixation,vertical,_,0.13,,,22988.120896643
vertical_bottom,vertical,red_first,0.37,,,22988.2537482411
fixation,vertical,_,0.13,,,22988.6375541933
vertical_top,vertical,red_second,0.37,,,22988.7704115296
fixation,vertical,_,0.13,,,22989.1542018993
vertical_bottom,vertical,blue_first,0.37,,,22989.2870750688
fixation,vertical,_,0.13,,,22989.6708759799
vertical_top,vertical,blue_second,0.37,,,22989.8037238503
fixation,vertical,_,0.13,,,22990.187530508
horizontal_right,horizontal,red_first,0.37,,10,22990.3203802401
fixation,horizontal,_,0.13,,,22990.7041784436
horizontal_left,horizontal,red_second,0.37,,,22990.8370537001
fixation,horizontal,_,0.13,,,22991.2208449965
horizontal_right,horizontal,blue_first,0.37,,,22991.3536614256
fixation,horizontal,_,0.13,,,22991.7375118597
horizontal_left,horizontal,blue_second,0.37,,,22991.8703326456
fixation,horizontal,_,0.13,,,22993.2874502936
horizontal_right,horizontal,red_first,0.37,,,22993.4203188811
fixation,horizontal,_,0.13,,,22993.8041536392
horizontal_left,horizontal,red_second,0.37,,,22993.9369555612
fixation,horizontal,_,0.13,,,22994.320810029
horizontal_right,horizontal,blue_first,0.37,,,22994.4536600672
fixation,horizontal,_,0.13,,,22994.8374609102
horizontal_left,horizontal,blue_second,0.37,,,22994.9703149056
fixation,horizontal,_,0.13,,,22995.354118622
horizontal_right,horizontal,red_first,0.37,,,22995.4869906269
fixation,horizontal,_,0.13,,,22995.8707775707
horizontal_left,horizontal,red_second,0.37,,,22996.0036522152
fixation,horizontal,_,0.13,,,22996.3873141209
horizontal_right,horizontal,blue_first,0.37,,,22996.5203259047
fixation,horizontal,_,0.13,,,22996.904105325
horizontal_left,horizontal,blue_second,0.37,,,22997.0369943278
fixation,horizontal,_,0.13,,,22997.420778241
horizontal_right,horizontal,red_first,0.37,,,22997.5536249552
fixation,horizontal,_,0.13,,,22997.9374176415
horizontal_left,horizontal,red_second,0.37,,,22998.0702684617
fixation,horizontal,_,0.13,,,22998.4540688329
horizontal_right,horizontal,blue_first,0.37,,,22998.5869265518
fixation,horizontal,_,0.13,,,22998.9707342297
horizontal_left,horizontal,blue_second,0.37,,,22999.1036134435
fixation,horizontal,_,0.13,,,22999.4873944153
vertical_bottom,vertical,red_first,0.37,,8,22999.6202530692
fixation,vertical,_,0.13,,,23000.0040591872
vertical_top,vertical,red_second,0.37,,,23000.1369208718
fixation,vertical,_,0.13,,,23000.5207121596
vertical_bottom,vertical,blue_first,0.37,,,23000.6535667798
fixation,vertical,_,0.13,,,23001.0373663817
vertical_top,vertical,blue_second,0.37,,,23001.170217508
fixation,vertical,_,0.13,,,23001.5540198217
vertical_bottom,vertical,red_first,0.37,,,23001.6868566619
fixation,vertical,_,0.13,,,23002.0706859113
vertical_top,vertical,red_second,0.37,,,23003.2373071284
fixation,vertical,_,0.13,,,23003.6206584176
vertical_bottom,vertical,blue_first,0.37,,,23003.7535152098
fixation,vertical,_,0.13,,,23004.1373225689
vertical_top,vertical,blue_second,0.37,,,23004.2701691939
fixation,vertical,_,0.13,,,23004.6539906733
vertical_bottom,vertical,red_first,0.37,,,23004.7868450639
fixation,vertical,_,0.13,,,23005.1706372911
vertical_top,vertical,red_second,0.37,,,23005.303491363
fixation,vertical,_,0.13,,,23005.6872951517
vertical_bottom,vertical,blue_first,0.37,,,23005.8201701022
fixation,vertical,_,0.13,,,23006.203964578
vertical_top,vertical,blue_second,0.37,,,23006.3368333227
fixation,vertical,_,0.13,,,23006.7206271779
vertical_bottom,vertical,red_first,0.37,,,23006.8534736455
fixation,vertical,_,0.13,,,23007.2372653287
vertical_top,vertical,red_second,0.37,,,23007.3701294913
fixation,vertical,_,0.13,,,23007.7539405017
vertical_bottom,vertical,blue_first,0.37,,,23007.8867518131
fixation,vertical,_,0.13,,,23008.2705822272
vertical_top,vertical,blue_second,0.37,,,23008.403453603
fixation,vertical,_,0.13,,,23008.7872512624
vertical_bottom,vertical,red_first,0.37,,,23008.920118919
fixation,vertical,_,0.13,,,23009.3039056375
vertical_top,vertical,red_second,0.37,,,23009.4367833764
fixation,vertical,_,0.13,,,23009.8205650537
vertical_bottom,vertical,blue_first,0.37,,,23009.953435656
fixation,vertical,_,0.13,,,23010.3372385945
vertical_top,vertical,blue_second,0.37,,,23010.4700859123
fixation,vertical,_,0.13,,,23010.8538816377
vertical_bottom,vertical,red_first,0.37,,,23010.9867448695
fixation,vertical,_,0.13,,,23011.3705351542
horizontal_left,horizontal,red_second,0.37,,10.5,23011.5033974551
fixation,horizontal,_,0.13,,,23011.8872170728
horizontal_right,horizontal,blue_first,0.37,,,23012.0200707621
fixation,horizontal,_,0.13,,,23012.4038791286
horizontal_left,horizontal,blue_second,0.37,,,23013.5704824212
fixation,horizontal,_,0.13,,,23030.0029426223
horizontal_left,horizontal,red_first,0.37,,,23030.1365273786
fixation,horizontal,_,0.13,,,23030.5202613905
horizontal_right,horizontal,red_second,0.37,,,23030.6531258634
fixation,horizontal,_,0.13,,,23031.0369218906
horizontal_left,horizontal,blue_first,0.37,,,23031.1697892412
fixation,horizontal,_,0.13,,,23031.5535731628
horizontal_right,horizontal,blue_second,0.37,,,23031.6864390342
fixation,horizontal,_,0.13,,,23032.0702371569
horizontal_left,horizontal,red_first,0.37,,,23032.2030976683
fixation,horizontal,_,0.13,,,23032.5868849989
horizontal_right,horizontal,red_second,0.37,,,23032.719756311
fixation,horizontal,_,0.13,,,23033.103545125
horizontal_left,horizontal,blue_first,0.37,,,23033.2364381573
fixation,horizontal,_,0.13,,,23033.6202191291
horizontal_right,horizontal,blue_second,0.37,,,23033.7530669995
fixation,horizontal,_,0.13,,,23034.1368677618
horizontal_left,horizontal,red_first,0.37,,,23034.2697214468
fixation,horizontal,_,0.13,,,23034.6533007689
horizontal_right,horizontal,red_second,0.37,,,23034.7864115987
fixation,horizontal,_,0.13,,,23035.170194275
horizontal_left,horizontal,blue_first,0.37,,,23035.3030371722
fixation,horizontal,_,0.13,,,23035.6868605983
horizontal_right,horizontal,blue_second,0.37,,,23035.8196994618
fixation,horizontal,_,0.13,,,23036.2033821696
horizontal_left,horizontal,red_first,0.37,,,23036.3363705245
fixation,horizontal,_,0.13,,,23036.7201713591
vertical_bottom,vertical,red_second,0.37,,8,23036.8530127091
fixation,vertical,_,0.13,,,23037.23683815
vertical_top,vertical,blue_first,0.37,,,23037.3697220266
fixation,vertical,_,0.13,,,23037.7534883298
vertical_bottom,vertical,blue_second,0.37,,,23037.8863447353
fixation,vertical,_,0.13,,,23038.2701541856
vertical_top,vertical,red_first,0.37,,,23038.4029866903
fixation,vertical,_,0.13,,,23038.7868176399
vertical_bottom,vertical,red_second,0.37,,,23039.9534227134
fixation,vertical,_,0.13,,,23040.3367699689
vertical_top,vertical,blue_first,0.37,,,23040.4696588144
fixation,vertical,_,0.13,,,23040.853445992
vertical_bottom,vertical,blue_second,0.37,,,23040.986325295
fixation,vertical,_,0.13,,,23041.3701070362
vertical_top,vertical,red_first,0.37,,,23041.5029320854
fixation,vertical,_,0.13,,,23041.8867710345
vertical_bottom,vertical,red_second,0.37,,,23042.0196145523
fixation,vertical,_,0.13,,,23042.4034236966
vertical_top,vertical,blue_first,0.37,,,23042.5362910429
fixation,vertical,_,0.13,,,23042.9200669736
vertical_bottom,vertical,blue_second,0.37,,,23043.0529398328
fixation,vertical,_,0.13,,,23043.4367319028
vertical_top,vertical,red_first,0.37,,,23043.5695816264
fixation,vertical,_,0.13,,,23043.9533959734
vertical_bottom,vertical,red_second,0.37,,,23044.086244307
fixation,vertical,_,0.13,,,23044.4700573279
vertical_top,vertical,blue_first,0.37,,,23044.6029059718
fixation,vertical,_,0.13,,,23044.9866997505
vertical_bottom,vertical,blue_second,0.37,,,23045.1195817654
fixation,vertical,_,0.13,,,23045.5033738311
vertical_top,vertical,red_first,0.37,,,23045.636228532
fixation,vertical,_,0.13,,,23046.020046288
horizontal_right,horizontal,red_second,0.37,,8,23046.1528913614
fixation,horizontal,_,0.13,,,23046.5366935179
horizontal_left,horizontal,blue_first,0.37,,,23046.6695518658
fixation,horizontal,_,0.13,,,23047.0533496782
horizontal_right,horizontal,blue_second,0.37,,,23047.1861661074
fixation,horizontal,_,0.13,,,23047.5700074623
horizontal_left,horizontal,red_first,0.37,,,23047.7028155136
fixation,horizontal,_,0.13,,,23049.1199462065
horizontal_right,horizontal,red_second,0.37,,,23049.2528616732
fixation,horizontal,_,0.13,,,23049.6366338804
horizontal_left,horizontal,blue_first,0.37,,,23049.7694899712
fixation,horizontal,_,0.13,,,23050.1532908908
horizontal_right,horizontal,blue_second,0.37,,,23050.2861476023
fixation,horizontal,_,0.13,,,23050.6699464263
horizontal_left,horizontal,red_first,0.37,,,23050.8028205225
fixation,horizontal,_,0.13,,,23051.186619576
horizontal_right,horizontal,red_second,0.37,,,23051.3195038395
fixation,horizontal,_,0.13,,,23051.7032675838
horizontal_left,horizontal,blue_first,0.37,,,23051.8361777713
fixation,horizontal,_,0.13,,,23052.2199466333
horizontal_right,horizontal,blue_second,0.37,,,23052.3528395934
fixation,horizontal,_,0.13,,,23052.7365963456
horizontal_left,horizontal,red_first,0.37,,,23052.8694752619
fixation,horizontal,_,0.13,,,23053.2532509587
horizontal_right,horizontal,red_second,0.37,,,23053.3860946296
fixation,horizontal,_,0.13,,,23053.7699219322
horizontal_left,horizontal,blue_first,0.37,,,23053.9027944812
fixation,horizontal,_,0.13,,,23054.2865748366
horizontal_right,horizontal,blue_second,0.37,,,23054.4194314673
fixation,horizontal,_,0.13,,,23054.8032303679
horizontal_left,horizontal,red_first,0.37,,,23054.9360994272
fixation,horizontal,_,0.13,,,23055.3198928105
horizontal_right,horizontal,red_second,0.37,,,23055.4527527099
fixation,horizontal,_,0.13,,,23055.8363973031
horizontal_left,horizontal,blue_first,0.37,,,23055.9694294343
fixation,horizontal,_,0.13,,,23056.3532084679
horizontal_right,horizontal,blue_second,0.37,,,23056.4860761967
fixation,horizontal,_,0.13,,,23056.8698761089
vertical_top,vertical,red_first,0.37,,9.5,23057.0027086093
fixation,vertical,_,0.13,,,23057.3865269093
vertical_bottom,vertical,red_second,0.37,,,23057.5193863369
fixation,vertical,_,0.13,,,23057.9031955577
vertical_top,vertical,blue_first,0.37,,,23058.0360173425
fixation,vertical,_,0.13,,,23059.4531252993
vertical_bottom,vertical,blue_second,0.37,,,23059.5860580742
fixation,vertical,_,0.13,,,23059.9698202671
vertical_top,vertical,red_first,0.37,,,23060.1027085643
fixation,vertical,_,0.13,,,23060.4864810817
vertical_bottom,vertical,red_second,0.37,,,23060.619316294
fixation,vertical,_,0.13,,,23061.0031442172
vertical_top,vertical,blue_first,0.37,,,23061.1359788174
fixation,vertical,_,0.13,,,23061.5198122493
vertical_bottom,vertical,blue_second,0.37,,,23061.6526757191
fixation,vertical,_,0.13,,,23062.0364649114
vertical_top,vertical,red_first,0.37,,,23062.169355776
fixation,vertical,_,0.13,,,23062.5531206042
vertical_bottom,vertical,red_second,0.37,,,23062.6860153495
fixation,vertical,_,0.13,,,23063.0697846025
vertical_top,vertical,blue_first,0.37,,,23063.2026600206
