stimulusTable1,stimulusTable2,stimulusTable3,stimulusTable4,stimulusTable5,stimulusTable6,stimulusTable7
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25835.5401381
fixation,ambiguous,_,0.13,,,25835.9120226
ambiguous_left_top,ambiguous,white_first,0.37,,,25836.0439513
fixation,ambiguous,_,0.13,,,25836.4159143
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25836.5477794
fixation,ambiguous,_,0.13,,,25836.919706
ambiguous_left_top,ambiguous,white_first,0.37,,,25837.0515345
fixation,ambiguous,_,0.13,,,25837.4240913
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25837.5560733
fixation,ambiguous,_,0.13,,,25837.9279392
ambiguous_left_top,ambiguous,white_first,0.37,,,25838.0598027
fixation,ambiguous,_,0.13,,,25838.4317054
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25838.5638627
fixation,ambiguous,_,0.13,,,25838.9358078
ambiguous_left_top,ambiguous,white_first,0.37,,,25839.067773
fixation,ambiguous,_,0.13,,,25839.4398344
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25839.5717177
fixation,ambiguous,_,0.13,,,25839.9436375
ambiguous_left_top,ambiguous,white_first,0.37,,,25840.0755784
fixation,ambiguous,_,0.13,,,25840.4476098
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25840.5795158
fixation,ambiguous,_,0.13,,,25840.9513848
ambiguous_left_top,ambiguous,white_first,0.37,,,25841.0833526
fixation,ambiguous,_,0.13,,,25841.4552786
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25841.5874463
fixation,ambiguous,_,0.13,,,25841.9594331
ambiguous_left_top,ambiguous,white_first,0.37,,,25842.0914095
fixation,ambiguous,_,0.13,,,25842.4633708
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25842.5953488
fixation,ambiguous,_,0.13,,,25842.9672896
ambiguous_left_top,ambiguous,white_first,0.37,,,25843.0991547
fixation,ambiguous,_,0.13,,,25843.4711678
ambiguous_left_bottom,ambiguous,white_second,0.37,,9.5,25843.6031016
fixation,ambiguous,_,0.13,,,25843.9750027
ambiguous_left_top,ambiguous,white_first,0.37,,,25844.1070495
fixation,ambiguous,_,0.13,,,25844.4790752
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25844.611
fixation,ambiguous,_,0.13,,,25844.98286
ambiguous_left_top,ambiguous,white_first,0.37,,,25845.1148201
fixation,ambiguous,_,0.13,,,25845.4875094
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25845.6195038
fixation,ambiguous,_,0.13,,,25845.9915458
ambiguous_left_top,ambiguous,white_first,0.37,,,25846.123369
fixation,ambiguous,_,0.13,,,25846.4953601
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25846.6273793
fixation,ambiguous,_,0.13,,,25846.9992974
ambiguous_left_top,ambiguous,white_first,0.37,,,25847.1311632
fixation,ambiguous,_,0.13,,,25847.5031355
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25847.6350962
fixation,ambiguous,_,0.13,,,25848.0069938
ambiguous_left_top,ambiguous,white_first,0.37,,,25848.1388632
fixation,ambiguous,_,0.13,,,25848.5108954
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25848.6428732
fixation,ambiguous,_,0.13,,,25849.0149634
ambiguous_left_top,ambiguous,white_first,0.37,,,25849.1469706
fixation,ambiguous,_,0.13,,,25849.5188823
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25849.6505925
fixation,ambiguous,_,0.13,,,25850.02264
ambiguous_left_top,ambiguous,white_first,0.37,,,25850.1546337
fixation,ambiguous,_,0.13,,,25850.5266204
ambiguous_left_bottom,ambiguous,white_second,0.37,,7,25850.6583875
fixation,ambiguous,_,0.13,,,25851.0303551
ambiguous_left_top,ambiguous,white_first,0.37,,,25851.1622866
fixation,ambiguous,_,0.13,,,25851.5341688
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25851.6661591
fixation,ambiguous,_,0.13,,,25852.0380904
ambiguous_left_top,ambiguous,white_first,0.37,,,25852.1709509
fixation,ambiguous,_,0.13,,,25852.5429881
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25852.674971
fixation,ambiguous,_,0.13,,,25853.0470571
ambiguous_left_top,ambiguous,white_first,0.37,,,25853.1795934
fixation,ambiguous,_,0.13,,,25853.551496
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25853.6834586
fixation,ambiguous,_,0.13,,,25854.0553334
ambiguous_left_top,ambiguous,white_first,0.37,,,25854.1875524
fixation,ambiguous,_,0.13,,,25854.5595036
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25854.6914499
fixation,ambiguous,_,0.13,,,25855.0633855
ambiguous_left_top,ambiguous,white_first,0.37,,,25855.1953559
fixation,ambiguous,_,0.13,,,25855.5671536
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25855.6991144
fixation,ambiguous,_,0.13,,,25856.0710618
ambiguous_left_top,ambiguous,white_first,0.37,,,25856.2029961
fixation,ambiguous,_,0.13,,,25856.5749818
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25856.7069162
fixation,ambiguous,_,0.13,,,25857.0789204
ambiguous_left_top,ambiguous,white_first,0.37,,,25857.2107864
fixation,ambiguous,_,0.13,,,25857.5827854
ambiguous_left_bottom,ambiguous,white_second,0.37,,,25857.7147991
fixation,ambiguous,_,0.13,,,25858.0874517
