responseTable_FCRTT1,responseTable_FCRTT2,responseTable_FCRTT3,responseTable_FCRTT4,responseTable_FCRTT5
Stimulus_Type,Accuracy,KeyName,RT,Release_Duration
vertical_top_red,Long_Timing,SOL_long,1.02548728846887,0.702837268287112
horizontal_right_blue,Correct,SAG_long,0.934222068317467,0.800672896686592
vertical_top_blue,Long_Timing,SAG_long,0.598950733648962,0.705302528902394
vertical_bottom_blue,Short_Timing,SAG,1.72833914042712,0.143640139591298
horizontal_right_blue,Short_Timing,SAG,0.543388209553086,0.137631668032554
horizontal_left_red,Long_Timing,SOL_long,0.770317455444456,0.781917057400278
vertical_top_red,Long_Timing,SOL_long,0.625659251647448,0.671773433085036
vertical_top_blue,Long_Timing,SAG_long,0.615776799120795,0.729166996352433
horizontal_left_red,Correct,SOL,1.08015556740793,0.202235769520485
vertical_bottom_blue,Short_Timing,SAG,1.19711131652366,0.132060396248562
horizontal_right_red,Correct,SOL_long,1.38458841318061,0.676320434853551
horizontal_left_red,Correct,SOL,0.664057741400029,0.279986893317982
horizontal_left_red,Long_Timing,SOL_long,0.894355592667125,0.694215217095916
horizontal_right_blue,Short_Timing,SAG,2.13549870929637,0.0441978252965782
vertical_top_red,Long_Timing,SOL_long,1.57558669013815,0.459227630279202
vertical_bottom_blue,Short_Timing,SAG,1.11278882476836,0.122284683766338
vertical_bottom_red,Correct,SOL_long,1.32476123896413,0.760151086811675
vertical_bottom_red,Short_Timing,SOL,0.687368029433856,0.143874719455198
horizontal_left_blue,Correct,SAG,1.75482463448861,0.173627265627147
vertical_top_blue,Long_Timing,SAG_long,0.689233808170684,0.661234405171854
horizontal_left_blue,Correct,SAG,1.59567522852376,0.142513783892355
vertical_top_red,Long_Timing,SOL_long,1.32358989109707,0.596187828967231
vertical_top_blue,Long_Timing,SAG_long,0.96680725943952,0.837750168098864
horizontal_right_blue,Short_Timing,SAG,0.670221668664453,0.119849831651663
horizontal_right_blue,Correct,SAG_long,0.722415378262667,0.506789939005102
vertical_top_blue,Correct,SAG,0.95814021608021,0.11232776144243
horizontal_left_blue,Long_Timing,SAG_long,0.754341201376519,0.6256151903508
