stimulusTable1,stimulusTable2,stimulusTable3,stimulusTable4,stimulusTable5,stimulusTable6,stimulusTable7
vertical_top,vertical,red_second,5,,,26221.0005578304
fixation,vertical,_,1,,,26223.9830198204
horizontal_right,horizontal,blue_first,5,,18,26225.0165564508
fixation,vertical,_,1,,,26228.599611198
vertical_top,vertical,red_second,5,,,26229.616343328
fixation,vertical,_,1,,,26232.6329042321
horizontal_left,horizontal,red_second,5,,,26233.6663729264
fixation,vertical,_,1,,,26236.4828183738
vertical_top,vertical,blue_second,5,,,26237.516354207
fixation,horizontal,_,1,,,26240.7994688558
vertical_bottom,vertical,red_first,5,,12,26241.8329967293
fixation,horizontal,_,1,,,26245.332805851
horizontal_left,horizontal,blue_second,5,,,26246.3663009804
fixation,horizontal,_,1,,,26249.6493682847
horizontal_right,horizontal,blue_first,5,,,26250.6829386848
fixation,vertical,_,1,,,26254.6660476615
vertical_bottom,vertical,red_first,5,,,26255.6995748884
fixation,vertical,_,1,,,26259.4326291857
vertical_top,vertical,blue_second,5,,,26260.4661446475
fixation,vertical,_,1,,,26263.6159403605
vertical_bottom,vertical,blue_first,5,,,26264.6494828046
fixation,horizontal,_,1,,,26268.2654782466
vertical_top,vertical,red_second,5,,,26269.2993764516
fixation,horizontal,_,1,,,26272.5491515923
horizontal_right,horizontal,red_first,5,,24,26273.5826940234
fixation,vertical,_,1,,,26277.3494901767
vertical_bottom,vertical,blue_first,5,,,26278.3832142538
fixation,vertical,_,1,,,26282.0489941939
vertical_top,vertical,blue_second,5,,18,26283.0831558584
fixation,vertical,_,1,,,26286.1157071211
vertical_bottom,vertical,red_first,5,,,26287.1324939739
fixation,vertical,_,1,,,26296.4821654326
horizontal_left,horizontal,red_first,5,,12,26313.5488659167
fixation,horizontal,_,1,,,26316.2321683132
vertical_bottom,vertical,blue_first,5,,18,26317.2488635019
fixation,horizontal,_,1,,,26319.1981820766
vertical_top,vertical,blue_first,5,,12,26320.2151249402
fixation,vertical,_,1,,,26322.4314389782
horizontal_right,horizontal,blue_first,5,,,26323.4482746744
fixation,vertical,_,1,,,26325.1987301716
vertical_bottom,vertical,blue_first,5,,,26326.2155084596
fixation,horizontal,_,1,,,26328.0987154395
vertical_top,vertical,blue_first,5,,,26329.1157397194
fixation,horizontal,_,1,,,26330.9982307217
vertical_bottom,vertical,red_first,5,,,26332.0151006134
fixation,vertical,_,1,,,26333.9820152103
vertical_bottom,vertical,blue_second,5,,,26334.9987895555
fixation,vertical,_,1,,,26337.7481057924
vertical_top,vertical,red_second,5,,,26338.7651154297
fixation,vertical,_,1,,,26341.2819155822
horizontal_left,horizontal,blue_second,5,,24,26342.2987728308
fixation,vertical,_,1,,,26344.9319011218
vertical_bottom,vertical,red_second,5,,,26345.9486906193
fixation,horizontal,_,1,,,26349.0314505863
horizontal_left,horizontal,blue_first,5,,,26350.0483619282
fixation,horizontal,_,1,,,26352.4318368312
horizontal_right,horizontal,red_first,5,,,26353.4486336809
fixation,vertical,_,1,,,26355.5317809935
vertical_bottom,vertical,blue_second,5,,,26356.5484747189
fixation,vertical,_,1,,,26359.7318432547
horizontal_right,horizontal,blue_first,5,,24,26360.7484469494
fixation,vertical,_,1,,,26363.1150091043
horizontal_right,horizontal,blue_second,5,,18,26364.1317764801
fixation,horizontal,_,1,,,26367.1816276788
horizontal_right,horizontal,red_second,5,,,26384.2482200237
fixation,horizontal,_,1,,,26386.8642807291
vertical_bottom,vertical,red_second,5,,,26387.881177231
fixation,horizontal,_,1,,,26389.7983919488
vertical_top,vertical,red_first,5,,30,26390.814833956
fixation,vertical,_,1,,,26393.7480876549
horizontal_right,horizontal,red_second,5,,,26394.7647718756
fixation,vertical,_,1,,,26396.7821975603
vertical_top,vertical,blue_first,5,,12,26397.798100295
fixation,vertical,_,1,,,26400.4813808337
vertical_top,vertical,blue_second,5,,,26401.4980581592
fixation,vertical,_,1,,,26403.5308318078
vertical_top,vertical,red_first,5,,12,26404.5478721341
fixation,horizontal,_,1,,,26407.4813221887
horizontal_left,horizontal,blue_first,5,,24,26408.498037876
fixation,horizontal,_,1,,,26411.6312789446
horizontal_right,horizontal,red_first,5,,,26412.6479542747
fixation,horizontal,_,1,,,26415.4812290457
horizontal_left,horizontal,red_second,5,,,26416.4979742663
fixation,horizontal,_,1,,,26418.8974973511
