stimulusTable1,stimulusTable2,stimulusTable3,stimulusTable4,stimulusTable5,stimulusTable6,stimulusTable7
vertical_bottom,vertical,red_first,0.37,,,9310.86934027177
fixation,vertical,_,0.13,,,9311.25310754263
vertical_top,vertical,red_second,0.37,,,9311.38598026355
fixation,vertical,_,0.13,,,9311.76977919541
vertical_bottom,vertical,blue_first,0.37,,,9311.90266232963
fixation,vertical,_,0.13,,,9312.28643977737
vertical_top,vertical,blue_second,0.37,,,9312.41932849688
fixation,vertical,_,0.13,,,9312.80311863525
vertical_bottom,vertical,red_first,0.37,,,9312.93596079966
fixation,vertical,_,0.13,,,9313.31979421658
vertical_top,vertical,red_second,0.37,,,9313.45267069795
fixation,vertical,_,0.13,,,9313.83645576635
vertical_bottom,vertical,blue_first,0.37,,,9313.96930155453
fixation,vertical,_,0.13,,,9314.35312782917
vertical_top,vertical,blue_second,0.37,,,9314.48598472511
fixation,vertical,_,0.13,,,9314.86977668831
vertical_bottom,vertical,red_first,0.37,,,9315.00265392695
fixation,vertical,_,0.13,,,9315.38645023427
vertical_top,vertical,red_second,0.37,,,9315.5193066463
fixation,vertical,_,0.13,,,9315.90312264432
vertical_bottom,vertical,blue_first,0.37,,,9316.03598094952
fixation,vertical,_,0.13,,,9316.4197770204
vertical_top,vertical,blue_second,0.37,,,9316.55265536354
fixation,vertical,_,0.13,,,9316.93644291429
vertical_bottom,vertical,red_first,0.37,,,9317.06931873814
fixation,vertical,_,0.13,,,9317.45312691048
vertical_top,vertical,red_second,0.37,,,9317.5859893917
fixation,vertical,_,0.13,,,9317.96978031875
vertical_bottom,vertical,blue_first,0.37,,,9318.10266411049
fixation,vertical,_,0.13,,,9318.48645800379
vertical_top,vertical,blue_second,0.37,,,9318.61932675923
fixation,vertical,_,0.13,,,9319.00312079474
vertical_bottom,vertical,red_first,0.37,,,9319.13597285714
fixation,vertical,_,0.13,,,9319.51977920464
vertical_top,vertical,red_second,0.37,,,9319.65266320141
fixation,vertical,_,0.13,,,9320.03644982127
horizontal_right,horizontal,blue_first,0.37,,9,9320.16932740162
fixation,horizontal,_,0.13,,,9320.55312319361
horizontal_left,horizontal,blue_second,0.37,,,9320.68592752807
fixation,horizontal,_,0.13,,,9321.06978067264
horizontal_right,horizontal,red_first,0.37,,,9321.20264780827
fixation,horizontal,_,0.13,,,9321.58646384322
horizontal_left,horizontal,red_second,0.37,,,9321.71931297629
fixation,horizontal,_,0.13,,,9322.10311308099
horizontal_right,horizontal,blue_first,0.37,,,9322.23599114524
fixation,horizontal,_,0.13,,,9322.61978811007
horizontal_left,horizontal,blue_second,0.37,,,9322.75265434623
fixation,horizontal,_,0.13,,,9323.13645221053
horizontal_right,horizontal,red_first,0.37,,,9323.26931672161
fixation,horizontal,_,0.13,,,9323.65311658436
horizontal_left,horizontal,red_second,0.37,,,9323.78599213485
fixation,horizontal,_,0.13,,,9324.16979030393
horizontal_right,horizontal,blue_first,0.37,,,9324.30263347308
fixation,horizontal,_,0.13,,,9324.68644281825
horizontal_left,horizontal,blue_second,0.37,,,9324.81930891773
fixation,horizontal,_,0.13,,,9325.20312222837
horizontal_right,horizontal,red_first,0.37,,,9325.33596646509
fixation,horizontal,_,0.13,,,9325.71978636025
horizontal_left,horizontal,red_second,0.37,,,9325.85265260193
fixation,horizontal,_,0.13,,,9326.23644635855
