stimulusTable1,stimulusTable2,stimulusTable3,stimulusTable4,stimulusTable5,stimulusTable6,stimulusTable7
ambiguous_left_bottom,ambiguous,red_first,0.37,,,17864.9142638521
fixation,ambiguous,_,0.13,,,17865.2975301161
ambiguous_left_top,ambiguous,red_second,0.37,,,17865.4475265632
fixation,ambiguous,_,0.13,,,17865.8308986364
ambiguous_left_bottom,ambiguous,blue_first,0.37,,,17865.9808783278
fixation,ambiguous,_,0.13,,,17866.3641902046
ambiguous_left_top,ambiguous,blue_second,0.37,,,17866.5141131128
fixation,ambiguous,_,0.13,,,17866.8975422795
ambiguous_left_bottom,ambiguous,red_first,0.37,,,17867.0475914761
fixation,ambiguous,_,0.13,,,17867.4308403637
ambiguous_left_top,ambiguous,red_second,0.37,,,17867.5808942147
fixation,ambiguous,_,0.13,,,17867.9641908872
ambiguous_left_bottom,ambiguous,blue_first,0.37,,,17868.1141072793
fixation,ambiguous,_,0.13,,,17868.4974306368
ambiguous_left_top,ambiguous,blue_second,0.37,,,17868.647577575
fixation,ambiguous,_,0.13,,,17869.0308435287
ambiguous_left_bottom,ambiguous,red_first,0.37,,,17869.1808489743
fixation,ambiguous,_,0.13,,,17869.564088243
ambiguous_left_top,ambiguous,red_second,0.37,,,17869.7140924474
fixation,ambiguous,_,0.13,,,17870.0974248033
ambiguous_left_bottom,ambiguous,blue_first,0.37,,,17870.2473793613
fixation,ambiguous,_,0.13,,,17870.6307858767
ambiguous_left_top,ambiguous,blue_second,0.37,,,17870.7809135769
fixation,ambiguous,_,0.13,,,17871.1641103357
ambiguous_left_bottom,ambiguous,red_first,0.37,,,17871.314079167
fixation,ambiguous,_,0.13,,,17871.6975042999
ambiguous_left_top,ambiguous,red_second,0.37,,,17871.847476234
fixation,ambiguous,_,0.13,,,17872.2307977298
ambiguous_left_bottom,ambiguous,blue_first,0.37,,,17872.3808975038
fixation,ambiguous,_,0.13,,,17872.7640483396
ambiguous_left_top,ambiguous,blue_second,0.37,,,17872.9141487342
fixation,ambiguous,_,0.13,,,17873.2974630932
ambiguous_left_bottom,ambiguous,red_first,0.37,,,17873.4473891044
fixation,ambiguous,_,0.13,,,17873.8307903449
ambiguous_left_top,ambiguous,red_second,0.37,,,17873.9808836028
fixation,ambiguous,_,0.13,,,17874.3640006169
ambiguous_left_bottom,ambiguous,blue_first,0.37,,9,17874.5140392636
fixation,ambiguous,_,0.13,,,17874.8973905472
ambiguous_left_top,ambiguous,blue_second,0.37,,,17875.0474564996
fixation,ambiguous,_,0.13,,,17875.4307621705
ambiguous_left_bottom,ambiguous,red_first,0.37,,,17875.580765444
fixation,ambiguous,_,0.13,,,17875.9640996617
ambiguous_left_top,ambiguous,red_second,0.37,,,17876.1141358261
fixation,ambiguous,_,0.13,,,17876.4973580288
ambiguous_left_bottom,ambiguous,blue_first,0.37,,,17876.6474370133
fixation,ambiguous,_,0.13,,,17877.0307206535
ambiguous_left_top,ambiguous,blue_second,0.37,,,17877.1807496813
fixation,ambiguous,_,0.13,,,17877.5641015855
ambiguous_left_bottom,ambiguous,red_first,0.37,,,17877.7141073414
fixation,ambiguous,_,0.13,,,17878.0974409385
ambiguous_left_top,ambiguous,red_second,0.37,,,17878.2473508145
fixation,ambiguous,_,0.13,,,17878.6306949615
ambiguous_left_bottom,ambiguous,blue_first,0.37,,,17878.7808440717
fixation,ambiguous,_,0.13,,,17879.1640321424
ambiguous_left_top,ambiguous,blue_second,0.37,,,17879.3140965433
fixation,ambiguous,_,0.13,,,17879.6973299164
ambiguous_left_bottom,ambiguous,red_first,0.37,,,17879.8473276047
